"Genus"	"species"	"guild_fg"
"Gibberella"	"Fusarium_roseum"	"Plant Pathogen"
"Mycosphaerella"	"Mycosphaerella_berkeleyi"	"Plant Pathogen"
"Terfezia"	"Terfezia_sp."	"Ectomycorrhizal"
"Puccinia"	"Puccinia_graminis"	"Plant Pathogen"
"Puccinia"	"Puccinia_striiformis"	"Plant Pathogen"
"Melampsora"	"Melampsora_lini"	"Plant Pathogen"
"Uromyces"	"Uromyces_phaseoli"	"Plant Pathogen"
"Ustilago"	"Ustilago_nuda"	"Plant Pathogen"
"Amanita"	"Amanita muscaria _"	"Ectomycorrhizal"
"Amanita"	"Amanita thiersii _"	"Undefined Saprotroph"
"Aspergillus"	"Aspergillus flavus _"	"Animal Pathogen-Plant Pathogen-Wood Saprotroph"
"Aspergillus"	"Aspergillus niger _"	"Plant Pathogen-Wood Saprotroph"
"Bipolaris"	"Bipolaris sorokiniana _"	"Plant Pathogen"
"Exophiala"	"Exophiala pisciphila _"	"Animal Pathogen-Undefined Saprotroph"
"Fomitiporia"	"Fomitiporia mediterranea _"	"Plant Pathogen-Undefined Saprotroph"
"Fomitopsis"	"Fomitopsis pinicola _"	"Plant Pathogen-Wood Saprotroph"
"Gaeumannomyces"	"Gaeumannomyces cylindrosporus _"	"Endophyte"
"Paecilomyces"	"Paecilomyces variotii _"	"Animal Pathogen"
"Paxillus"	"Paxillus involutus _"	"Ectomycorrhizal"
"Pithomyces"	"Pithomyces chartarum _"	"Animal Pathogen"
"Pleurotus"	"Pleurotus ostreatus _"	"Endophyte-Plant Pathogen-Wood Saprotroph"
"Pyrenochaeta"	"Pyrenochaeta cava _"	"Litter Saprotroph-Soil Saprotroph"
"Thanatephorus"	"Rhizoctonia solani _"	"Endophyte-Plant Pathogen"
"Stereum"	"Stereum hirsutum _"	"Wood Saprotroph"
"Ustilago"	"Ustilago maydis _"	"Plant Pathogen"
"Dacryopinax"	"Dacryopinax_sp"	"Undefined Saprotroph"
"Fomitiporia"	"Fomitiporia_mediterranea"	"Plant Pathogen-Undefined Saprotroph"
"Pyrenochaeta"	"Pyrenochaeta_cava"	"Litter Saprotroph-Soil Saprotroph"
"Stereum"	"Stereum_hirsutum"	"Wood Saprotroph"
"Ustilago"	"Ustilago_maydis"	"Plant Pathogen"
"Trichoderma"	"Hypocrea_koningii"	"Endophyte-Plant Pathogen"
"Hypocreales"	"Hypocreales"	"Undefined Saprotroph"
"Exophiala"	"Exophiala_sp"	"Animal Pathogen"
"Epicoccum"	"Epicoccum_nigrum"	"Endophyte-Plant Pathogen"
"Mucor"	"Mucor_racemosus"	"Endophyte-Plant Pathogen"
"Acarospora"	"\"Mycosphaerella_pneumatophorae\""	"Lichenized"
"Acarospora"	"Acarospora_laqueata"	"Lichenized"
"Acarospora"	"Acarospora_schleicheri"	"Lichenized"
"Acarosporina"	"Acarosporina_microspora"	"Undefined Saprotroph"
"Agonimia"	"Agonimia_sp."	"Lichenized"
"Aleuria"	"Aleuria_aurantia"	"Undefined Saprotroph"
"Apiognomonia"	"Apiognomonia_errabunda"	"Endophyte-Plant Pathogen"
"Arthrinium"	"Apiospora_montagnei"	"Dung Saprotroph-Plant Pathogen"
"Bacidia"	"Arthonia_caesia"	"Lichenized"
"Ascobolus"	"Ascobolus_crenulatus"	"Dung Saprotroph-Undefined Saprotroph"
"Ascodesmis"	"Ascodesmis_sphaerospora"	"Dung Saprotroph"
"Bionectria"	"Bionectria_ochroleuca"	"Fungal Parasite"
"Blumeria"	"Blumeria_graminis"	"Plant Pathogen"
"Botryosphaeria"	"Botryosphaeria_dothidea"	"Plant Pathogen"
"Botryosphaeria"	"Botryosphaeria_stevensii"	"Plant Pathogen"
"Botryotinia"	"Botryotinia_fuckeliana"	"Plant Pathogen"
"Bulgaria"	"Bulgaria_inquinans"	"Plant Pathogen-Undefined Saprotroph-Wood Saprotroph"
"Caloscypha"	"Caloscypha_fulgens"	"Undefined Saprotroph"
"Canoparmelia"	"Candelariella_terrigena"	"Lichenized"
"Cladonia"	"Canoparmelia_caroliniana"	"Lichenized"
"Capnodium"	"Capnodium_coffeae"	"Plant Pathogen"
"Capnodium"	"Capnodium_salicinum"	"Plant Pathogen"
"Capronia"	"Capronia_pilosella"	"Undefined Saprotroph"
"Ceratocystis"	"Ceratocystis_fimbriata"	"Plant Pathogen"
"Chaetosphaeria"	"Chaetosphaeria_tortuosa"	"Wood Saprotroph"
"Cheilymenia"	"Cheilymenia_stercorea"	"Undefined Saprotroph"
"Chlorociboria"	"Chlorociboria_aeruginosa"	"Wood Saprotroph"
"Cladonia"	"Cladonia_caroliniana"	"Lichenized"
"Claviceps"	"Claviceps_purpurea"	"Plant Pathogen"
"Clavispora"	"Clavispora_lusitaniae"	"Animal Pathogen"
"Bipolaris"	"Cochliobolus_heterostrophus"	"Plant Pathogen"
"Bipolaris"	"Cochliobolus_sativus"	"Plant Pathogen"
"Dibaeis"	"Connersia_rilstonii"	"Lichenized"
"Tolypocladium"	"Cordyceps_ophioglossoides"	"Fungal Parasite"
"Corollospora"	"Corollospora_maritima"	"Endophyte"
"Cryphonectria"	"Cryphonectria_parasitica"	"Wood Saprotroph"
"Cudoniella"	"Cudoniella_clavus"	"Undefined Saprotroph"
"Cyphellophora"	"Cyphellophora_laciniata"	"Animal Pathogen"
"Mycosphaerella"	"Davidiella_tassiana"	"Plant Pathogen"
"Debaryomyces"	"Debaryomyces_hansenii"	"Undefined Saprotroph"
"Dermea"	"Dermea_acerina"	"Undefined Saprotroph"
"Phomopsis"	"Diaporthe_phaseolorum"	"Plant Pathogen"
"Dothidea"	"Dothidea_insculpta"	"Undefined Saprotroph"
"Dothidea"	"Dothidea_sambuci"	"Plant Pathogen"
"Aspergillus"	"Emericella_nidulans"	"Undefined Saprotroph"
"Endocarpon"	"Endocarpon_pallidulum"	"Lichenized"
"Epichloë"	"Epichloë_typhina"	"Plant Pathogen"
"Eutypa"	"Eutypa_lata"	"Plant Pathogen"
"Geoglossum"	"Geoglossum_nigritum"	"Undefined Saprotroph"
"Gibberella"	"Gibberella_zeae"	"Endophyte-Plant Pathogen"
"Colletotrichum"	"Glomerella_cingulata"	"Endophyte-Plant Pathogen"
"Gnomonia"	"Gnomonia_gnomon"	"Plant Pathogen"
"Phyllosticta"	"Guignardia_bidwellii"	"Plant Pathogen"
"Gyromitra"	"Gyromitra_esculenta"	"Undefined Saprotroph"
"Helvella"	"Helvella_compressa"	"Undefined Saprotroph"
"Hydropisphaera"	"Hydropisphaera_erubescens"	"Undefined Saprotroph"
"Nigrospora"	"Khuskia_oryzae"	"Endophyte-Plant Pathogen"
"Kluyveromyces"	"Kluyveromyces_lactis"	"Undefined Saprotroph"
"Lichinella"	"Lachancea_waltti"	"Lichenized"
"Lachnum"	"Lachnum_virgineum"	"Undefined Saprotroph"
"Leotia"	"Leotia_lubrica"	"Undefined Saprotroph"
"Lichinella"	"Lichinella_iodopulchra"	"Lichenized"
"Lindra"	"Lindra_thalassiae"	"Undefined Saprotroph"
"Lulworthia"	"Lulworthia_grandispora"	"Undefined Saprotroph"
"Pyricularia"	"Magnaporthe_grisea"	"Plant Pathogen"
"Melanospora"	"Melanospora_zamiae"	"Endophyte-Plant Pathogen"
"Peltula"	"Microascus_trigonosporus_rigonosporus"	"Lichenized"
"Mollisia"	"Mollisia_cinerea"	"Plant Pathogen"
"Monilinia"	"Monilinia_laxa"	"Plant Pathogen"
"Phaeocalicium"	"Mycocalicium_polyporaeum"	"Fungal Parasite"
"Mycosphaerella"	"Mycosphaerella_fijiensis"	"Plant Pathogen"
"Mycosphaerella"	"Mycosphaerella_graminicola"	"Plant Pathogen"
"Nectria"	"Nectria_cinnabarina"	"Plant Pathogen-Wood Saprotroph"
"Fusarium"	"Nectria_haematococca"	"Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph"
"Peltula"	"Neofabreae_malicorticis"	"Lichenized"
"Ophiosphaerella"	"Ophiosphaerella_herpotricha"	"Plant Pathogen"
"Orbilia"	"Orbilia_auricolor"	"Undefined Saprotroph"
"Orbilia"	"Orbilia_vinosa"	"Undefined Saprotroph"
"Peltigera"	"Peltigera_degenii"	"Lichenized"
"Peziza"	"Peltula_auriculata"	"Dung Saprotroph"
"Pertusaria"	"Pertusaria_dactylina"	"Lichenized"
"Petriella"	"Petriella_setifera"	"Endophyte-Wood Saprotroph"
"Phaeosphaeria"	"Phaeosphaeria_nodorum"	"Plant Pathogen"
"Physcia"	"Physcia_aipolia"	"Lichenized"
"Pleopsidium"	"Pleopsidium_chlorophanum"	"Lichenized"
"Pyrenula"	"Pleopsidium_gobiense"	"Lichenized"
"Pneumocystis"	"Pneumocystis_carinii"	"Animal Pathogen"
"Potebniamyces"	"Potebniamyces_pyri"	"Plant Pathogen"
"Protomyces"	"Protomyces_inouyei"	"Plant Pathogen"
"Pyrenophora"	"Pyrenophora_phaeocomes"	"Plant Pathogen"
"Pyrenophora"	"Pyrenophora_tritici-repentis"	"Plant Pathogen"
"Pyrgillus"	"Pyrgillus_javanicus"	"Lichenized"
"Pyronema"	"Pyronema_domesticum"	"Undefined Saprotroph"
"Rhizina"	"Rhizina_undulata"	"Plant Pathogen"
"Roccella"	"Roccella_fuciformis"	"Lichenized"
"Sarcoscypha"	"Sarcoscypha_coccinea"	"Wood Saprotroph"
"Sclerotinia"	"Sclerotinia_sclerotiorum"	"Plant Pathogen"
"Scutellinia"	"Scutellinia_scutellata"	"Wood Saprotroph"
"Simonyella"	"Simonyella_variegata"	"Lichenized"
"Sordaria"	"Sordaria_fimicola"	"Dung Saprotroph-Wood Saprotroph"
"Sphinctrina"	"Sphinctrina_turbinata"	"Lichen Parasite"
"Sporormiella"	"Sporormiella_minima"	"Dung Saprotroph-Endophyte"
"Staurothele"	"Staurothele_frustulenta"	"Lichenized"
"Stictis"	"Stictis_radiata"	"Undefined Saprotroph"
"Sydowia"	"Sydowia_polyspora"	"Plant Pathogen"
"Taphrina"	"Taphrina_deformans"	"Plant Pathogen"
"Taphrina"	"Taphrina_wiesneri"	"Plant Pathogen"
"Thelebolus"	"Thelebolus_microsporus"	"Dung Saprotroph-Endophyte"
"Trichoglossum"	"Trichoglossum_hirsutum"	"Undefined Saprotroph"
"Umbilicaria"	"Trypethelium_sp."	"Lichenized"
"Xylaria"	"Umbilicaria_mammulata"	"Undefined Saprotroph"
"Venturia"	"Venturia_inaequalis"	"Plant Pathogen"
"Verruculina"	"Verruculina_enalia"	"Endophyte"
"Westerdykella"	"Westerdykella_cylindrica"	"Undefined Saprotroph"
"Acarospora"	"Xylaria_acuta"	"Lichenized"
"Xylaria"	"Xylaria_hypoxylon"	"Endophyte-Wood Saprotroph"
"Alternaria"	"Alternaria_brassicicola"	"Plant Pathogen"
"Arthroderma"	"Arthroderma_benhamiae"	"Animal Pathogen"
"Aspergillus"	"Aspergillus_clavatus"	"Animal Pathogen"
"Aspergillus"	"Aspergillus_flavus"	"Animal Pathogen-Plant Pathogen-Wood Saprotroph"
"Aspergillus"	"Aspergillus_fumigatus"	"Animal Pathogen-Undefined Saprotroph"
"Aspergillus"	"Aspergillus_nidulans"	"Undefined Saprotroph"
"Aspergillus"	"Aspergillus_oryzae"	"Animal Pathogen-Plant Pathogen-Wood Saprotroph"
"Aspergillus"	"Aspergillus_terreus"	"Animal Pathogen-Wood Saprotroph"
"Beauveria"	"Beauveria_bassiana"	"Animal Pathogen"
"Blastobotrys"	"Blastobotrys_adeninivorans"	"Undefined Saprotroph"
"Botrytis"	"Botrytis_cinerea"	"Plant Pathogen"
"Coccidioides"	"Coccidioides_immitis"	"Animal Pathogen-Soil Saprotroph"
"Bipolaris"	"Cochliobolus_carbonum"	"Plant Pathogen"
"Bipolaris"	"Cochliobolus_miyabeanus"	"Plant Pathogen"
"Bipolaris"	"Cochliobolus_victoriae"	"Plant Pathogen"
"Coemansia"	"Coemansia_reversa"	"Undefined Saprotroph"
"Colletotrichum"	"Colletotrichum_graminicola"	"Plant Pathogen"
"Colletotrichum"	"Colletotrichum_higginsianum"	"Plant Pathogen"
"Conidiobolus"	"Conidiobolus_coronatus"	"Animal Pathogen-Undefined Saprotroph"
"Coprinopsis"	"Coprinopsis_cinerea"	"Undefined Saprotroph"
"Cryptococcus"	"Cryptococcus_neoformans"	"Animal Pathogen"
"Dacryopinax"	"Dacryopinax_sp."	"Wood Saprotroph"
"Aspergillus"	"Eurotium_rubrum"	"Animal Pathogen"
"Gibberella"	"Fusarium_graminearum"	"Endophyte-Plant Pathogen"
"Gibberella"	"Fusarium_verticillioides"	"Endophyte-Plant Pathogen"
"Ganoderma"	"Ganoderma_sp."	"Plant Pathogen-Wood Saprotroph"
"Histoplasma"	"Histoplasma_capsulatum"	"Animal Pathogen-Dung Saprotroph"
"Macrophomina"	"Macrophomina_phaseolina"	"Endophyte-Plant Pathogen"
"Malassezia"	"Malassezia_globosa"	"Animal Pathogen"
"Malassezia"	"Malassezia_sympodialis"	"Animal Pathogen"
"Metarhizium"	"Metarhizium_robertsii"	"Endophyte"
"Microsporum"	"Microsporum_canis"	"Animal Pathogen"
"Mixia"	"Mixia_osmundae"	"Undefined Saprotroph"
"Moniliophthora"	"Moniliophthora_perniciosa"	"Plant Pathogen"
"Paracoccidioides"	"Paracoccidioides_brasiliensis"	"Animal Pathogen"
"Penicillium"	"Penicillium_chrysogenum"	"Plant Pathogen"
"Penicillium"	"Penicillium_digitatum"	"Plant Pathogen"
"Penicillium"	"Penicillium_oxalicum"	"Plant Pathogen"
"Scheffersomyces"	"Pichia_stipitis"	"Animal Endosymbiont-Undefined Saprotroph"
"Pneumocystis"	"Pneumocystis_jirovecii"	"Animal Pathogen"
"Pseudozyma"	"Pseudozyma_hubeiensis"	"Animal Pathogen"
"Pyrenophora"	"Pyrenophora_teres"	"Plant Pathogen"
"Rhizopus"	"Rhizopus_microsporus"	"Plant Pathogen"
"Rhizopus"	"Rhizopus_oryzae"	"Plant Pathogen"
"Rhytidhysteron"	"Rhytidhysteron_rufulum"	"Plant Pathogen"
"Rozella"	"Rozella_allomycis"	"Fungal Parasite"
"Exserohilum"	"Setosphaeria_turcica"	"Plant Pathogen"
"Sphacelotheca"	"Sporisorium_reilianum"	"Plant Pathogen"
"Thielavia"	"Thielavia_terrestris"	"Endophyte"
"Tilletiaria"	"Tilletiaria_anomala"	"Plant Pathogen"
"Torulaspora"	"Torulaspora_delbrueckii"	"Animal Pathogen"
"Tremella"	"Tremella_mesenterica"	"Fungal Parasite"
"Trichophyton"	"Trichophyton_rubrum"	"Animal Pathogen"
"Trichophyton"	"Trichophyton_verrucosum"	"Animal Pathogen"
"Tulasnella"	"Tulasnella_calospora"	"Endophyte"
"Venturia"	"Venturia_pirina"	"Plant Pathogen"
"Verticillium"	"Verticillium_dahliae"	"Plant Pathogen"
"Zygosaccharomyces"	"Zygosaccharomyces_rouxii"	"Undefined Saprotroph"
"Knufia"	"Capronia_peltigerae"	"Lichen Parasite"
"Chalara"	"Chalara_piceae-abietis"	"Endophyte-Undefined Saprotroph"
"Cladophialophora"	"Cladophialophora_chaetospira"	"Endophyte"
"Tremella"	"OTUkt0872"	"Lichen Parasite"
"Clonostachys"	"Clonostachys_rosea_f._catenulata"	"Endophyte"
"Cylindrosympodium"	"Cylindrosympodium_lauri"	"Endophyte"
"Diaporthe"	"Diaporthe_tanakae"	"Plant Pathogen"
"Exobasidium"	"Exobasidium_rostrupii"	"Plant Pathogen"
"Fusarium"	"Fusarium_chlamydosporum"	"Endophyte-Plant Pathogen-Wood Saprotroph"
"Helicosporium"	"Helicosporium_aureum"	"Wood Saprotroph"
"Hyphodiscus"	"Hyphodiscus_hymeniophilus"	"Fungal Parasite"
"Trichoderma"	"Hypocrea_virens"	"Endophyte"
"Leohumicola"	"Leohumicola_minima"	"Endophyte"
"Meliniomyces"	"Meliniomyces_bicolor"	"Ectomycorrhizal-Endophyte-Ericoid Mycorrhizal-Litter Saprotroph-Orchid Mycorrhizal"
"Meliniomyces"	"Meliniomyces_vraolstadiae"	"Ectomycorrhizal"
"Mollisia"	"Mollisia_cinerea_f._minutella"	"Plant Pathogen"
"Mycoarthris"	"Mycoarthris_corallina"	"Litter Saprotroph"
"Ilyonectria"	"Neonectria_radicicola"	"Endophyte-Plant Pathogen"
"Penicillium"	"Penicillium_melinii"	"Animal Pathogen"
"Phialea"	"Phialea_strobilina"	"Litter Saprotroph"
"Phialocephala"	"Phialocephala_fortinii"	"Ericoid Mycorrhizal"
"Phialocephala"	"Phialocephala_glacialis"	"Endophyte"
"Didymocyrtis"	"Phoma_cladoniicola"	"Lichen Parasite"
"Pyrenochaeta"	"Pyrenochaeta_lycopersici"	"Plant Pathogen"
"Sarcinomyces"	"Sarcinomyces_crustaceus"	"Endophyte"
"Sphinctrina"	"Sphinctrina_leucopoda"	"Lichen Parasite"
"Tremella"	"OTUkt4265"	"Lichen Parasite"
"Collybia"	"Collybia_cirrhata"	"Fungal Parasite"
"Laetisaria"	"Laetisaria_fuciformis"	"Plant Pathogen"
"Microdochium"	"Microdochium_bolleyi"	"Plant Pathogen"
"Talaromyces"	"Penicillium_pinophilum"	"Animal Pathogen"
"Pseudotaeniolina"	"Pseudotaeniolina_globosa"	"Endophyte"
"Syzygospora"	"Syzygospora_effibulata"	"Litter Saprotroph"
"Mucor"	"Mucor_hiemalis"	"Plant Pathogen"
"Mycoleptodiscus"	"Mycoleptodiscus_terrestris"	"Plant Pathogen"
"Stemphylium"	"Pleospora_herbarum"	"Plant Pathogen"
"Schwanniomyces"	"Schwanniomyces_yamadae"	"Animal Pathogen"
"Tremella"	"Trechispora_sp_MA_76222"	"Lichen Parasite"
"Tremella"	"Tremella_leptogii"	"Lichen Parasite"
"Exophiala"	"Exophiala_angulospora"	"Animal Pathogen"
"Exophiala"	"Exophiala_xenobiotica"	"Animal Pathogen"
"Tremella"	"OTUkt2108"	"Lichen Parasite"
"Tremella"	"OTUkt2946"	"Lichen Parasite"
"Microdochium"	"Monographella_nivalis"	"Plant Pathogen"
"Penicillium"	"Penicillium_viridicatum"	"Plant Pathogen"
"Phialemoniopsis"	"Phialemoniopsis_cornearis"	"Animal Pathogen"
"Pseudogymnoascus"	"Pseudogymnoascus_roseus"	"Soil Saprotroph"
"Trichoderma"	"Trichoderma_asperellum"	"Endophyte"
"Blastomyces"	"Ajellomyces_dermatitidis"	"Animal Pathogen-Undefined Saprotroph"
"Galerina"	"Galerina_autumnalis"	"Undefined Saprotroph"
"Ilyonectria"	"Ilyonectria_radicicola"	"Endophyte-Plant Pathogen"
"Biatoropsis"	"Biatoropsis_usnearum"	"Lichen Parasite"
"Tremella"	"OTUkt0279"	"Lichen Parasite"
"Exophiala"	"Exophiala_heteromorpha"	"Animal Pathogen"
"Neofusicoccum"	"Neofusicoccum_mangiferae"	"Endophyte-Plant Pathogen"
"Ochrocladosporium"	"Ochrocladosporium_elatum"	"Endophyte-Plant Pathogen"
"Penicillium"	"Penicillium_brevicompactum"	"Endophyte"
"Tremella"	"Tremella_foliacea"	"Fungal Parasite"
"Xenobotryosphaeria"	"Xenobotryosphaeria_calamagrostidis"	"Litter Saprotroph"
